protocol,N,f,B,K,C,input_bytes,success,timeout,runtime_seconds,has_summary,has_log,num_nodes,total_tx,latency_mean,latency_std,tps_mean,tps_std
dumbomvbastar,16,5,7000,10,0,1750000,True,False,172.0,True,True,16,70000,0.6180311875,0.013705026889034794,11331.6021183125,255.6245054614451
hmvba,61,12,0,10,0,0,True,False,235.8,True,True,61,0,4.528852032786885,0.03813558573780628,0.0,0.0
finmvba,31,10,0,10,0,0,True,False,208.8,True,True,31,0,3.5989103548387096,0.028845808664400868,0.0,0.0
finmvba,6,1,1000,10,0,250000,True,False,159.5,True,True,6,10000,0.07025766666666666,0.0037022027317080643,14264.171386666667,703.370897045769
dumbomvbastar,16,5,100,10,0,25000,True,False,169.8,True,True,16,1000,0.3884278125,0.002365477857819286,257.45701575,1.5674403768417071
dumbomvbastar,16,5,1000,10,0,250000,True,False,169.4,True,True,16,10000,0.362900125,0.003235790781761597,2755.7853965,24.726132230270206
finmvba,6,1,0,10,0,0,True,False,159.5,True,True,6,0,0.06600133333333333,0.000872723247465467,0.0,0.0
hmvba,101,20,10,10,0,2500,True,False,378.4,True,True,101,100,16.253231485148515,0.12899122407897476,0.6153005742574258,0.004875448023200603
finmvba,31,10,1000,10,0,250000,True,False,213.5,True,True,31,10000,4.046748612903226,0.0389649472591947,247.1340481612903,2.3703650746566334
hmvba,31,6,7000,10,0,1750000,True,False,197.8,True,True,31,70000,2.441666870967742,0.013472395537399016,2866.978341193548,15.811105265305782
finmvba,16,5,7000,10,0,1750000,True,False,174.6,True,True,16,70000,0.99257325,0.03368969417987248,7060.2708463125,248.3730408496102
dumbomvbastar,16,5,10,10,0,2500,True,False,169.1,True,True,16,100,0.3308645,0.0026166254858755217,30.2256424375,0.2394086253776083
hmvba,101,20,1000,10,0,250000,True,False,402.7,True,True,101,10000,18.476363663366335,0.14318597337318167,54.12642056435644,0.4192170887574459
hmvba,31,6,10,10,0,2500,True,False,181.8,True,True,31,100,0.924209064516129,0.009093120487252923,10.82107829032258,0.10662927679494463
hmvba,101,20,0,10,0,0,True,False,387.2,True,True,101,0,17.136256396039602,0.14521343000391393,0.0,0.0
dumbomvbastar,6,1,0,10,0,0,True,False,160.7,True,True,6,0,0.06833083333333334,0.00022454524414172405,0.0,0.0
finmvba,16,5,1000,10,0,250000,True,False,170.1,True,True,16,10000,0.557645875,0.006925683194939455,1793.5137538125,22.44619287346388
hmvba,31,6,1000,10,0,250000,True,False,197.0,True,True,31,10000,2.2378372903225805,0.03492978068944753,446.9677422903226,7.132641747257047
finmvba,31,10,7000,10,0,1750000,True,False,232.3,True,True,31,70000,6.011438741935484,0.06859644726027124,1164.5928051935484,13.230907930211243
finmvba,6,1,100,10,0,25000,True,False,159.5,True,True,6,1000,0.0673455,0.000567734004618357,1484.9660415,12.465030071479202
hmvba,101,20,7000,10,0,1750000,False,True,1200.7,False,True,,,,,,
hmvba,16,3,7000,10,0,1750000,True,False,171.6,True,True,16,70000,0.731925375,0.0029114137659677886,9563.959970125,38.28906660654268
hmvba,31,6,100,10,0,25000,True,False,188.5,True,True,31,1000,1.525643677419355,0.014157425885113173,65.55154432258065,0.6056868818694673
dumbomvbastar,31,10,1000,10,0,250000,True,False,192.6,True,True,31,10000,1.4531986774193548,0.01505779089239653,688.2083070322581,7.098856277635803
dumbomvbastar,16,5,0,10,0,0,True,False,169.0,True,True,16,0,0.3197955625,0.004649969605187399,0.0,0.0
finmvba,16,5,10,10,0,2500,True,False,168.9,True,True,16,100,0.46665425,0.0038288578366574657,21.430496375,0.17626326187680208
finmvba,6,1,10,10,0,2500,True,False,159.4,True,True,6,100,0.057328833333333336,0.0010414436934691514,174.47902,3.1124518823735667
hmvba,16,3,10,10,0,2500,True,False,166.8,True,True,16,100,0.2554725,0.003007690387434633,39.1483378125,0.4692247095265722
dumbomvbastar,6,1,100,10,0,25000,True,False,160.6,True,True,6,1000,0.07169016666666667,0.001171218069646586,1395.196588,22.251907613861473
finmvba,31,10,100,10,0,25000,True,False,210.5,True,True,31,1000,3.762797612903226,0.022674542198505936,26.576903,0.15980125769029477
hmvba,6,1,0,10,0,0,False,False,159.5,False,True,,,,,,
dumbomvbastar,31,10,7000,10,0,1750000,True,False,198.1,True,True,31,70000,2.0217067741935484,0.027951032760537595,3463.0574195806453,47.572126296787765
hmvba,201,40,0,10,0,0,False,True,1200.7,False,True,,,,,,
hmvba,16,3,1000,10,0,250000,True,False,167.5,True,True,16,10000,0.320467625,0.0030161842091180942,3120.7045695,29.893599493001847
finmvba,16,5,0,10,0,0,True,False,169.0,True,True,16,0,0.4689941875,0.0034982108611641308,0.0,0.0
hmvba,61,12,10,10,0,2500,True,False,238.5,True,True,61,100,4.807255442622951,0.04777364087253022,2.0803886721311478,0.020435588173348743
dumbomvbastar,6,1,10,10,0,2500,True,False,160.6,True,True,6,100,0.064011,0.0011196942439791317,156.2621575,2.6664454252113075
